epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0335,1.2314,3.24595,1.49637,0.20544,0.18742,0.23121,0.13824,1.13513,2.67555,1.65541,0.000364966,0.000364966,0.000364966
2,21.9834,1.14516,2.66503,1.41933,0.30226,0.51695,0.35143,0.1617,1.29843,2.66586,1.75809,0.00072802,0.00072802,0.00072802
3,32.0062,1.17611,2.48519,1.41824,0.53034,0.41939,0.48981,0.28629,1.15076,3.64406,1.62672,0.00108374,0.00108374,0.00108374
4,41.8555,1.18273,2.3011,1.41269,0.55947,0.4336,0.52367,0.30407,1.3319,2.42707,1.80363,0.001078,0.001078,0.001078
5,51.866,1.18037,2.07268,1.40854,0.49323,0.65412,0.61587,0.3604,1.17145,2.04102,1.59086,0.001067,0.001067,0.001067
6,62.1167,1.15076,2.00208,1.39675,0.48655,0.65243,0.60844,0.39975,1.15301,1.80524,1.56612,0.00105601,0.00105601,0.00105601
7,72.6003,1.12476,1.8844,1.36614,0.67951,0.75213,0.77609,0.53752,1.11262,1.55356,1.55379,0.00104501,0.00104501,0.00104501
8,83.2648,1.08734,1.76097,1.3553,0.76596,0.69177,0.76773,0.53392,1.10605,1.4001,1.45705,0.00103401,0.00103401,0.00103401
9,93.3451,1.09369,1.68003,1.32293,0.69981,0.67757,0.71735,0.44994,1.24597,1.50497,1.54643,0.00102301,0.00102301,0.00102301
10,103.38,1.03676,1.53623,1.30554,0.84189,0.75209,0.83278,0.62187,0.90378,1.1444,1.34788,0.00101201,0.00101201,0.00101201
11,113.608,1.076,1.53821,1.3117,0.92588,0.73871,0.8534,0.63337,0.9516,1.2395,1.3819,0.00100101,0.00100101,0.00100101
12,123.604,0.97552,1.43224,1.25122,0.82694,0.81354,0.85369,0.58588,1.00427,1.27163,1.44565,0.000990012,0.000990012,0.000990012
13,134.222,0.97405,1.3917,1.2582,0.79563,0.68664,0.78312,0.55001,0.93628,1.34188,1.35474,0.000979013,0.000979013,0.000979013
14,144.813,0.97367,1.33321,1.26843,0.82838,0.74092,0.83584,0.60729,0.99764,1.22932,1.38387,0.000968014,0.000968014,0.000968014
15,154.911,0.93772,1.27204,1.21652,0.86165,0.83603,0.87164,0.66347,0.84428,1.04807,1.26451,0.000957015,0.000957015,0.000957015
16,165.012,0.9294,1.25504,1.22069,0.86827,0.73509,0.85706,0.68208,0.79465,1.00725,1.23592,0.000946016,0.000946016,0.000946016
17,175.419,0.91036,1.21282,1.21476,0.81994,0.73847,0.82309,0.62667,0.89589,1.12137,1.35721,0.000935018,0.000935018,0.000935018
18,185.623,0.92937,1.21539,1.23282,0.84774,0.83904,0.8991,0.67431,0.91249,0.91474,1.33708,0.000924019,0.000924019,0.000924019
19,196.242,0.91613,1.1799,1.2087,0.92844,0.80782,0.89327,0.71916,0.77838,0.87431,1.2266,0.00091302,0.00091302,0.00091302
20,206.61,0.88277,1.09049,1.1845,0.85756,0.77508,0.86281,0.69821,0.76068,0.93207,1.20973,0.000902021,0.000902021,0.000902021
21,216.819,0.88519,1.11149,1.18403,0.88484,0.84282,0.88402,0.71177,0.75367,0.8107,1.19827,0.000891022,0.000891022,0.000891022
22,227.155,0.83636,1.01813,1.15144,0.92642,0.83138,0.90071,0.73152,0.73103,0.80633,1.17024,0.000880023,0.000880023,0.000880023
23,237.259,0.82556,0.98566,1.14003,0.89785,0.81896,0.895,0.69002,0.86678,0.83599,1.28701,0.000869024,0.000869024,0.000869024
24,247.591,0.84559,1.01904,1.15877,0.91915,0.8598,0.91112,0.75234,0.75902,0.77816,1.18652,0.000858025,0.000858025,0.000858025
25,257.759,0.82485,0.98079,1.14699,0.95142,0.84251,0.91316,0.75773,0.71472,0.72482,1.14109,0.000847026,0.000847026,0.000847026
26,268.041,0.83291,0.97259,1.16533,0.9103,0.86245,0.88466,0.72547,0.72821,0.79414,1.18487,0.000836027,0.000836027,0.000836027
27,278.303,0.78688,0.93273,1.14112,0.93134,0.8409,0.90676,0.71457,0.77534,0.81544,1.1868,0.000825029,0.000825029,0.000825029
28,288.573,0.78453,0.91474,1.13412,0.9149,0.83978,0.90513,0.74162,0.74006,0.73591,1.17198,0.00081403,0.00081403,0.00081403
29,298.895,0.80038,0.90142,1.15403,0.93969,0.828,0.9059,0.73227,0.74181,0.74275,1.18321,0.000803031,0.000803031,0.000803031
30,309.455,0.78255,0.87436,1.1482,0.93992,0.85669,0.91972,0.75818,0.69006,0.67589,1.13267,0.000792032,0.000792032,0.000792032
31,320.083,0.79403,0.91203,1.13464,0.94749,0.8427,0.92313,0.77489,0.68757,0.69749,1.12336,0.000781033,0.000781033,0.000781033
32,331.201,0.73595,0.82432,1.09731,0.96554,0.87655,0.9211,0.76132,0.68984,0.67563,1.12866,0.000770034,0.000770034,0.000770034
33,341.729,0.7615,0.83425,1.13482,0.90411,0.90131,0.93702,0.77573,0.67934,0.59171,1.12051,0.000759035,0.000759035,0.000759035
34,352.078,0.75912,0.83179,1.13033,0.95077,0.85375,0.92192,0.76697,0.67071,0.62724,1.10108,0.000748036,0.000748036,0.000748036
35,362.591,0.71228,0.8195,1.0948,0.94315,0.85526,0.9214,0.77616,0.64479,0.67071,1.10098,0.000737037,0.000737037,0.000737037
36,375.095,0.75334,0.81548,1.11194,0.94764,0.87904,0.93899,0.7667,0.72642,0.62583,1.16131,0.000726038,0.000726038,0.000726038
37,386.728,0.7165,0.78723,1.10616,0.94125,0.86208,0.92673,0.75647,0.71394,0.651,1.18011,0.00071504,0.00071504,0.00071504
38,398.502,0.70626,0.78553,1.10851,0.95749,0.8532,0.92996,0.77301,0.69113,0.62674,1.14501,0.000704041,0.000704041,0.000704041
39,409.802,0.68298,0.73929,1.08494,0.9411,0.84549,0.9283,0.77948,0.67294,0.6059,1.14013,0.000693042,0.000693042,0.000693042
40,420.942,0.7224,0.76912,1.09969,0.95983,0.87372,0.93959,0.79744,0.64296,0.60215,1.10743,0.000682043,0.000682043,0.000682043
41,432.655,0.73471,0.76856,1.10186,0.96761,0.89231,0.94015,0.79297,0.6297,0.59371,1.10683,0.000671044,0.000671044,0.000671044
42,445.739,0.67433,0.73553,1.08514,0.95121,0.89302,0.93437,0.78328,0.64064,0.56873,1.10038,0.000660045,0.000660045,0.000660045
43,457.958,0.7038,0.7583,1.08846,0.92786,0.88834,0.92039,0.77013,0.65255,0.62785,1.12805,0.000649046,0.000649046,0.000649046
44,470.144,0.69436,0.74992,1.08081,0.94717,0.9019,0.9498,0.81737,0.58676,0.56806,1.0667,0.000638047,0.000638047,0.000638047
45,481.273,0.64211,0.68891,1.056,0.96494,0.90586,0.95515,0.82904,0.53985,0.5252,1.05376,0.000627048,0.000627048,0.000627048
46,491.68,0.65996,0.71406,1.06413,0.96106,0.91804,0.95341,0.83194,0.55891,0.49586,1.04717,0.000616049,0.000616049,0.000616049
47,502.078,0.63065,0.68607,1.05905,0.93845,0.87502,0.93556,0.79598,0.59769,0.56961,1.06944,0.000605051,0.000605051,0.000605051
48,512.731,0.64181,0.69097,1.05353,0.95333,0.86636,0.93691,0.82425,0.59159,0.56177,1.07074,0.000594052,0.000594052,0.000594052
